IsInstruction,Rating,RT,Response,TrialName,TrialOrder,condition,dot,inertia,num_observations,num_targets,scene,sigma_v,sigma_w,sigma_x,spring,ID
False,78,13995,True,60_5.mp4,38,0,5.0,0.8,8.0,4.0,60.0,2.2,1.6428571428571428,120.5,0.0017857142857142857,Participant_88
False,97,13303,True,104_1.mp4,39,0,1.0,0.8,8.0,4.0,104.0,2.2,2.2857142857142856,120.5,0.0013571428571428571,Participant_88
False,81,13913,True,40_1.mp4,40,0,1.0,0.8,8.0,4.0,40.0,2.2,1.4285714285714284,120.5,0.0013571428571428571,Participant_88
False,99,16203,True,48_1.mp4,41,0,1.0,0.8,8.0,4.0,48.0,2.2,1.6428571428571428,120.5,0.0005,Participant_88
False,21,12958,False,22_7.mp4,42,0,7.0,0.8,8.0,4.0,22.0,2.2,1.2142857142857144,120.5,0.0011428571428571427,Participant_88
False,29,12766,True,96_1.mp4,43,0,1.0,0.8,8.0,4.0,96.0,2.2,2.2857142857142856,120.5,0.0005,Participant_88
False,97,15706,True,53_6.mp4,44,0,6.0,0.8,8.0,4.0,53.0,2.2,1.6428571428571428,120.5,0.0009285714285714286,Participant_88
False,90,15631,True,73_2.mp4,45,0,2.0,0.8,8.0,4.0,73.0,2.2,1.857142857142857,120.5,0.0013571428571428571,Participant_88
False,90,17253,True,112_1.mp4,46,0,1.0,0.8,8.0,4.0,112.0,2.2,2.5,120.5,0.0005,Participant_88
False,5,12984,True,18_3.mp4,47,0,3.0,0.8,8.0,4.0,18.0,2.2,1.2142857142857144,120.5,0.0007142857142857143,Participant_88
False,100,19251,True,127_8.mp4,48,0,8.0,0.8,8.0,4.0,127.0,2.2,2.5,120.5,0.002,Participant_88
False,99,14013,True,109_6.mp4,49,0,6.0,0.8,8.0,4.0,109.0,2.2,2.2857142857142856,120.5,0.0017857142857142857,Participant_88
False,100,13701,True,95_8.mp4,50,0,8.0,0.8,8.0,4.0,95.0,2.2,2.0714285714285716,120.5,0.002,Participant_88
False,85,27343,True,8_1.mp4,51,0,1.0,0.8,8.0,4.0,8.0,2.2,1.0,120.5,0.0013571428571428571,Participant_88
False,93,16450,True,80_1.mp4,52,0,1.0,0.8,8.0,4.0,80.0,2.2,2.0714285714285716,120.5,0.0005,Participant_88
False,100,12993,False,78_7.mp4,53,0,7.0,0.8,8.0,4.0,78.0,2.2,1.857142857142857,120.5,0.002,Participant_88
False,96,13849,True,69_6.mp4,54,0,6.0,0.8,8.0,4.0,69.0,2.2,1.857142857142857,120.5,0.0009285714285714286,Participant_88
False,66,12883,False,44_5.mp4,55,0,5.0,0.8,8.0,4.0,44.0,2.2,1.4285714285714284,120.5,0.0017857142857142857,Participant_88
False,94,14141,False,55_8.mp4,56,0,8.0,0.8,8.0,4.0,55.0,2.2,1.6428571428571428,120.5,0.0011428571428571427,Participant_88
False,99,14511,False,126_7.mp4,57,0,7.0,0.8,8.0,4.0,126.0,2.2,2.5,120.5,0.002,Participant_88
False,99,13795,True,45_6.mp4,58,0,6.0,0.8,8.0,4.0,45.0,2.2,1.4285714285714284,120.5,0.0017857142857142857,Participant_88
False,97,13202,False,76_5.mp4,59,0,5.0,0.8,8.0,4.0,76.0,2.2,1.857142857142857,120.5,0.0017857142857142857,Participant_88
False,25,12336,True,27_4.mp4,60,0,4.0,0.8,8.0,4.0,27.0,2.2,1.2142857142857144,120.5,0.0015714285714285715,Participant_88
False,6,13226,False,7_8.mp4,61,0,8.0,0.8,8.0,4.0,7.0,2.2,1.0,120.5,0.0011428571428571427,Participant_88
False,97,14756,True,99_4.mp4,62,0,4.0,0.8,8.0,4.0,99.0,2.2,2.2857142857142856,120.5,0.0007142857142857143,Participant_88
False,96,14667,True,28_5.mp4,63,0,5.0,0.8,8.0,4.0,28.0,2.2,1.2142857142857144,120.5,0.0017857142857142857,Participant_88
False,4,13007,True,65_2.mp4,64,0,2.0,0.8,8.0,4.0,65.0,2.2,1.857142857142857,120.5,0.0005,Participant_88
False,69,13147,True,106_3.mp4,65,0,3.0,0.8,8.0,4.0,106.0,2.2,2.2857142857142856,120.5,0.0015714285714285715,Participant_88
False,100,14906,False,66_3.mp4,66,0,3.0,0.8,8.0,4.0,66.0,2.2,1.857142857142857,120.5,0.0007142857142857143,Participant_88
False,0,14453,False,38_7.mp4,67,0,7.0,0.8,8.0,4.0,38.0,2.2,1.4285714285714284,120.5,0.0011428571428571427,Participant_88
False,29,12679,False,70_7.mp4,68,0,7.0,0.8,8.0,4.0,70.0,2.2,1.857142857142857,120.5,0.0011428571428571427,Participant_88
False,97,13129,False,35_4.mp4,69,0,4.0,0.8,8.0,4.0,35.0,2.2,1.4285714285714284,120.5,0.0007142857142857143,Participant_88
False,99,12329,True,94_7.mp4,70,0,7.0,0.8,8.0,4.0,94.0,2.2,2.0714285714285716,120.5,0.002,Participant_88
False,97,13205,False,89_2.mp4,71,0,2.0,0.8,8.0,4.0,89.0,2.2,2.0714285714285716,120.5,0.0013571428571428571,Participant_88
False,100,15870,False,116_5.mp4,72,0,5.0,0.8,8.0,4.0,116.0,2.2,2.5,120.5,0.0009285714285714286,Participant_88
False,4,12748,True,64_1.mp4,73,0,1.0,0.8,8.0,4.0,64.0,2.2,1.857142857142857,120.5,0.0005,Participant_88
False,7,13303,True,98_3.mp4,74,0,3.0,0.8,8.0,4.0,98.0,2.2,2.2857142857142856,120.5,0.0007142857142857143,Participant_88
False,97,14429,True,50_3.mp4,75,0,3.0,0.8,8.0,4.0,50.0,2.2,1.6428571428571428,120.5,0.0007142857142857143,Participant_88
False,99,20161,False,110_7.mp4,76,0,7.0,0.8,8.0,4.0,110.0,2.2,2.2857142857142856,120.5,0.002,Participant_88
False,12,15120,False,119_8.mp4,77,0,8.0,0.8,8.0,4.0,119.0,2.2,2.5,120.5,0.0011428571428571427,Participant_88
False,91,12543,False,9_2.mp4,78,0,2.0,0.8,8.0,4.0,9.0,2.2,1.0,120.5,0.0013571428571428571,Participant_88
False,99,13682,False,118_7.mp4,79,0,7.0,0.8,8.0,4.0,118.0,2.2,2.5,120.5,0.0011428571428571427,Participant_88
False,100,14073,True,2_3.mp4,80,0,3.0,0.8,8.0,4.0,2.0,2.2,1.0,120.5,0.0007142857142857143,Participant_88
